,Indonesia,Malaysia,Philippines,Singapore,Thailand
1960,52777607990.6609,10075038171.6525,31344442131.3627,5942828047.71603,15908745237.0732
1961,55807383539.0809,10840538967.3442,33129655728.2504,6426389292.98807,16761795431.4479
1962,56835343100.146,11536613184.2457,34735216308.374,6911841722.43236,18028024108.366
1963,55563919432.5108,12383262559.4985,37172331196.9798,7605833575.79285,19470235531.2727
1964,57525158068.7532,13046877007.0349,38437117698.5784,7369799243.52633,20800246569.5843
1965,58147344118.8746,14049511692.747,40491615974.6141,7947192318.88275,22502052342.91
1966,59770438162.6686,15147721422.3722,42289912831.981,8756182717.48619,25004847276.4235
1967,60595510968.2667,15731991227.8777,44498582861.8978,9851469304.62613,27159260500.2243
1968,67209619196.7231,16987088645.0428,46740492396.2273,11184099505.3826,29365209037.4594
1969,71794859870.4322,17817508190.0551,48932375372.6322,12731233633.9831,31288824006.2803
1970,77218699133.4404,18884160200.7433,50739197209.849,14506255455.339,34858237112.3328
1971,82642538396.4485,20779121580.2583,53473536817.6906,16307026476.5784,36564678105.2132
1972,88458625386.7089,22729957979.3882,56377357073.8831,18478396857.7248,38129100797.2368
1973,95627290746.7914,25389608913.063,61328421715.5222,20437590922.316,42032160659.5219
1974,102928121603.707,27501684654.5106,63410280229.858,21687881873.7271,43909423458.0836
1975,108051163892.361,27721991874.707,66866839836.3408,22551425661.9145,46091899737.0818
1976,115492177498.459,30927621571.4769,72736680730.5574,24228615071.2831,50390804149.5649
1977,125610823212.857,33325458127.5268,76783000641.9067,25888929298.8071,55351004430.0049
1978,134110995368.417,35542898191.6774,80769869288.922,27902385801.5711,61049803550.6608
1979,143933699723.414,38865839262.1232,85289404733.3071,30568228105.9063,64329256453.7681
1980,158154460835.886,41758167698.0876,89725060255.1701,33659659586.849,67657356915.0781
1981,170691612970.702,44657063211.2662,92795639106.2388,37300334594.1228,71653787520.0173
1982,174526106756.674,47311100559.7394,96227598682.3895,39949447192.3189,75488948121.1509
1983,181843929461.971,50269099767.8469,98052989836.803,43366962467.268,79704403826.0984
1984,194528503330.281,54170881787.0409,91150669044.9819,47179953447.7742,84289344063.5606
1985,199318074355.611,53615494685.4869,84899212334.6804,46886092522.5487,88206472477.1901
1986,211028101123.628,54280645791.9086,87879755422.624,47515711376.2002,93087666743.6426
1987,221423192104.645,57098860070.74,91712903094.8801,52646348559.7905,101948631494.21
1988,234222556376.596,62773184723.2654,97854853030.1338,58576302007.5647,115495681941.763
1989,251687564891.169,68460184710.0851,103906117099.449,64526840267.6753,129575189963.151
1990,269915109658.485,74627439029.6208,107109202426.436,70864052953.1568,144045063210.024
1991,288571595709.615,81750976904.3657,106641788491.747,75603796915.915,156372814699.436
1992,307321553946.56,89014647650.749,107087155596.265,80623654349.7236,169013036074.787
1993,327286416333.046,97822596594.5462,109423679520.948,89865362234.5068,182959849697.484
1994,351963717524.103,106834055076.175,114209505697.107,99838303753.2732,197591194008.872
1995,380895161146.503,117334865369.351,119491952442.596,107027567646.203,213636222058.82
1996,410674257411.067,129071520752.785,126494596534.476,115024003491.417,225710822686.697
1997,429975449993.557,138523095019.844,133055127054.353,124593904567.937,219495705555.247
1998,373533752988.269,128328605325.823,132371103155.836,121858597614.198,202739325941.902
1999,376488875933.227,136204917219.306,136800837504.362,128833794006.401,212009191856.584
2000,395012383689.125,148271131276.405,142796140820.36,140479269711.958,221454725108.405
2001,409404527351.182,149038694328.511,147150325740.485,138977524003.491,229082177284.849
2002,427825583308.405,157073352912.559,152618807081.032,144417951702.066,243168522955.031
2003,448277225387.513,166165542824.222,160382390171.199,150968431771.894,260650499707.576
2004,470829487520.977,177437278939.957,170918275875.837,165792915333.139,277043701431.254
2005,497631791817.584,186898481577.263,179365920408.317,177993671806.808,288645289937.08
2006,525006276753.314,197336475944.181,188901760374.153,194022257782.95,302984642091.15
2007,558318041704.736,209766278120.599,201216816876.726,211527203956.939,319452316987.747
2008,591893633878.692,219901701984.381,209958655941.226,215479051498.4,324965101944.033
2009,619291627728.719,216573426577.903,212999535577.63,215739743962.758,322720833701.393
2010,657835435591.365,232653672974.011,228621986430.26,247077320337.504,346968110267.494
2011,698422462409.202,244970155626.68,237442754961.546,262736761710.794,349883100679.815
2012,740537690664.799,258378484880.297,253819067111.502,274459048588.886,375224420609.029
2013,781691322850.807,270506054026.373,270953202686.745,287735452429.444,385308560264.96
2014,820828015498.845,286754600537.703,288153278076.74,299066482397.44,389101803069.629
2015,860854235065.079,301354803994.367,306446140627.933,308004146057.608,401296437424.995
2016,904181624278.983,314764434003.329,328355374912.941,318257710212.395,415081602962.932
2017,950021696789.269,333060816796.825,351113647615.503,332644166424.207,432422388357.651
2018,999178589070.128,349191140699.014,373379468918.565,344278295024.731,450539094020.301
2019,1049318966508.58,364693381129.177,396224787543.087,348909586848.996,460750263751.601
2020,1027602854052.75,344099347074.638,358294070260.977,330099796334.012,432649179610.326
